,date,Avg Temp,Min Temp,Max Temp,Precipitation,Snowfall,Wind Direction,Wind Speed,Wind Peak Gust,Air Pressure,Total Sun Duration
0,2019-01-01,10.2,4.3,14.3,2.0,0,274.0,24,,,
1,2019-01-02,3.6,1.6,4.9,0.0,0,,12,,,
2,2019-01-03,5.0,-0.1,7.1,0.0,0,,14,,,
3,2019-01-04,2.8,-1.7,7.7,0.0,0,,12,,,
4,2019-01-05,6.5,4.9,8.2,15.5,0,160.0,17,,,
5,2019-01-06,6.5,-0.6,10.5,0.0,0,289.0,24,,,
6,2019-01-07,-0.9,-3.9,1.0,0.0,0,,16,,,
7,2019-01-08,2.9,1.0,6.6,3.8,0,,4,,,
8,2019-01-09,5.7,1.0,7.7,1.0,0,278.0,30,,,
9,2019-01-10,0.7,-1.7,2.1,0.0,0,,32,,,
10,2019-01-11,-2.5,-6.1,0.5,0.0,0,,24,,,
11,2019-01-12,-3.7,-6.7,1.6,0.0,0,,10,,,
12,2019-01-13,-1.9,-5.0,0.5,0.0,0,,18,,,
13,2019-01-14,-3.5,-6.7,1.0,0.0,0,,17,,,
14,2019-01-15,-2.0,-6.7,3.2,0.0,0,,9,,,
15,2019-01-16,-0.6,-5.0,3.8,0.0,0,252.0,17,,,
16,2019-01-17,-1.0,-4.4,1.0,0.0,0,,12,,,
17,2019-01-18,0.0,-2.8,3.2,0.5,0,,11,,,
18,2019-01-19,1.0,-2.2,3.2,11.4,0,,11,,,
19,2019-01-20,1.6,-10.6,4.9,27.2,0,205.0,26,,,
20,2019-01-21,-11.7,-15.6,-9.4,0.0,0,297.0,37,,,
21,2019-01-22,-7.8,-10.6,-0.1,0.0,0,,14,,,
22,2019-01-23,0.6,-2.8,9.3,0.0,0,,10,,,
23,2019-01-24,11.4,1.6,14.9,24.9,0,233.0,27,,,
24,2019-01-25,2.2,-2.8,4.3,0.0,0,,23,,,
25,2019-01-26,-1.8,-6.1,2.1,0.0,0,,10,,,
26,2019-01-27,2.7,-3.3,10.5,0.0,0,,16,,,
27,2019-01-28,0.0,-5.6,3.2,0.0,0,255.0,17,,,
28,2019-01-29,-1.8,-6.7,5.5,4.8,0,,12,,,
29,2019-01-30,-2.5,-15.0,1.0,5.1,0,,28,,,
30,2019-01-31,-13.2,-16.7,-8.3,0.0,0,259.0,22,,,
31,2019-02-01,-9.7,-12.2,-5.6,0.0,0,,11,,,
32,2019-02-02,-5.7,-10.0,1.6,0.0,0,,18,,,
33,2019-02-03,2.2,-4.4,11.6,0.0,0,213.0,10,,,
34,2019-02-04,6.3,-0.1,16.0,0.0,0,,5,,,
35,2019-02-05,9.2,2.7,19.9,0.0,0,,11,,,
36,2019-02-06,6.3,1.0,8.2,13.5,0,,13,,,
37,2019-02-07,5.1,3.8,7.1,1.8,0,,12,,,
38,2019-02-08,7.1,-0.1,13.2,11.7,0,,23,,,
39,2019-02-09,-0.8,-4.4,1.0,0.0,0,,28,,,
40,2019-02-10,-2.2,-5.6,2.7,0.0,0,,13,,,
41,2019-02-11,0.8,-1.7,3.2,0.0,0,,11,,,
42,2019-02-12,-0.5,-3.3,2.1,20.6,0,,18,,,
43,2019-02-13,2.4,0.5,5.5,1.5,30,229.0,25,,,
44,2019-02-14,2.8,-0.1,7.7,0.0,0,,18,,,
45,2019-02-15,9.0,4.3,17.1,0.0,0,185.0,14,,,
46,2019-02-16,6.6,-0.6,9.3,0.0,0,,22,,,
47,2019-02-17,-0.3,-5.6,2.1,1.3,0,,12,,,
48,2019-02-18,2.5,-3.3,6.6,2.3,0,,19,,,
49,2019-02-19,-1.8,-5.0,2.7,0.0,0,,18,,,
50,2019-02-20,-1.8,-3.3,0.5,21.6,0,,10,,,
51,2019-02-21,3.3,-0.1,11.0,3.0,30,249.0,17,,,
52,2019-02-22,6.0,2.1,7.1,0.0,0,,19,,,
53,2019-02-23,2.3,-0.6,4.3,0.5,0,,11,,,
54,2019-02-24,4.9,2.7,8.2,20.6,0,149.0,23,,,
55,2019-02-25,5.0,-2.2,6.0,0.0,0,,45,,,
56,2019-02-26,-0.4,-3.9,4.3,0.0,0,,28,,,
57,2019-02-27,-2.8,-4.4,-0.6,0.0,0,,13,,,
58,2019-02-28,-0.2,-2.8,3.2,0.5,0,,18,,,
59,2019-03-01,-0.7,-3.9,2.1,1.3,30,,13,,,
60,2019-03-02,1.1,-1.1,4.9,13.0,100,,16,,,
61,2019-03-03,3.2,-0.1,5.5,16.8,30,,10,,,
62,2019-03-04,1.3,-1.7,3.8,5.8,100,267.0,21,,,
63,2019-03-05,-2.6,-6.1,-0.6,0.0,0,275.0,19,,,
64,2019-03-06,-4.8,-7.8,-2.8,0.0,0,,23,,,
65,2019-03-07,-4.7,-9.4,-0.1,0.0,0,,16,,,
66,2019-03-08,-1.5,-6.7,3.8,0.0,0,,8,,,
67,2019-03-09,3.8,0.5,9.3,0.0,0,,9,,,
68,2019-03-10,3.9,2.1,5.5,19.6,0,,15,,,
69,2019-03-11,7.6,3.8,12.7,0.0,0,261.0,24,,,
70,2019-03-12,4.9,1.0,7.1,0.0,0,,23,,,
71,2019-03-13,3.1,-2.2,8.2,0.0,0,,8,,,
72,2019-03-14,7.7,5.5,12.1,0.0,0,155.0,9,,,
73,2019-03-15,15.0,7.1,24.9,13.2,0,188.0,21,,,
74,2019-03-16,11.1,2.7,13.2,0.0,0,289.0,28,,,
75,2019-03-17,3.8,-1.1,7.7,0.0,0,283.0,16,,,
76,2019-03-18,3.2,-1.1,8.2,0.0,0,,9,,,
77,2019-03-19,4.9,-1.7,10.5,0.0,0,,10,,,
78,2019-03-20,5.7,1.0,11.0,0.0,0,,10,,,
79,2019-03-21,7.3,5.5,8.8,25.4,0,86.0,15,,,
80,2019-03-22,6.8,3.2,9.9,10.9,0,228.0,33,,,
81,2019-03-23,5.1,1.0,9.9,0.0,0,292.0,33,,,
82,2019-03-24,7.9,-0.6,16.6,0.0,0,250.0,17,,,
83,2019-03-25,10.8,5.5,12.1,0.0,0,291.0,16,,,
84,2019-03-26,5.5,-0.1,9.9,0.0,0,,23,,,
85,2019-03-27,3.7,-1.1,7.7,0.0,0,,12,,,
86,2019-03-28,5.1,-0.1,11.0,0.0,0,182.0,10,,,
87,2019-03-29,10.4,7.7,14.3,0.0,0,,10,,,
88,2019-03-30,14.1,9.9,21.6,0.0,0,144.0,14,,,
89,2019-03-31,13.2,3.8,18.2,0.8,0,235.0,23,,,
90,2019-04-01,4.5,-0.1,8.8,0.0,0,,25,,,
91,2019-04-02,6.0,1.6,9.9,0.0,0,,12,,,
92,2019-04-03,10.3,4.3,19.3,0.0,0,261.0,30,,,
93,2019-04-04,11.3,4.9,16.6,0.0,0,,22,,,
94,2019-04-05,5.9,3.8,6.0,4.3,0,,14,,,
95,2019-04-06,9.2,3.8,20.5,0.0,0,,13,,,
96,2019-04-07,13.6,7.7,17.1,0.0,0,,9,,,
97,2019-04-08,17.2,10.5,26.6,6.6,0,,17,,,
98,2019-04-09,9.1,7.1,11.0,0.5,0,108.0,10,,,
99,2019-04-10,11.1,6.6,16.0,0.0,0,,21,,,
100,2019-04-11,7.3,3.2,11.0,0.0,0,97.0,12,,,
101,2019-04-12,11.5,7.7,21.0,14.5,0,,12,,,
102,2019-04-13,18.8,16.0,26.0,4.3,0,213.0,18,,,
103,2019-04-14,18.4,13.2,22.1,0.5,0,,9,,,
104,2019-04-15,15.3,7.7,21.0,25.4,0,240.0,31,,,
105,2019-04-16,11.0,2.7,19.3,0.0,0,276.0,25,,,
106,2019-04-17,12.3,9.3,15.5,0.0,0,,13,,,
107,2019-04-18,12.1,10.5,17.7,0.0,0,,13,,,
108,2019-04-19,20.0,17.1,26.6,1.8,0,185.0,26,,,
109,2019-04-20,18.2,11.6,20.5,13.0,0,133.0,16,,,
110,2019-04-21,13.8,11.0,17.7,0.0,0,130.0,12,,,
111,2019-04-22,14.6,9.9,18.2,2.3,0,184.0,16,,,
112,2019-04-23,17.7,13.2,25.5,0.3,0,,12,,,
113,2019-04-24,19.3,12.7,21.6,0.0,0,,19,,,
